Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Source,Наличные_USD_Покупка,Наличные_USD_Продажа,Безналичные_USD_Покупка,Безналичные_USD_Продажа,Наличные_KZT_Покупка,Наличные_KZT_Продажа,Безналичные_KZT_Покупка,Безналичные_KZT_Продажа,Наличные_EUR_Покупка,Наличные_EUR_Продажа,Безналичные_EUR_Покупка,Безналичные_EUR_Продажа,Наличные_RUB_Покупка,Наличные_RUB_Продажа,Безналичные_RUB_Покупка,Безналичные_RUB_Продажа
2024-01-23,2.00,13 120.50,13 173.00,NBKR,,,,,,,,,,,,,,,,
2024-01-23,1.00,7 198.50,7 234.50,NBKR,,,,,,,,,,,,,,,,
2024-01-24,1.00,7 201.50,7 237.50,NBKR,,,,,,,,,,,,,,,,
2024-01-24,2.00,13 126.00,13 178.50,NBKR,,,,,,,,,,,,,,,,
2024-01-24,5.00,30 868.00,30 960.50,NBKR,,,,,,,,,,,,,,,,
2024-01-24,10.00,60 826.50,60 948.50,NBKR,,,,,,,,,,,,,,,,
2024-01-24,31.1035,186 313.50,189 108.50,NBKR,,,,,,,,,,,,,,,,
2024-01-24,100.00,588 723.00,606 385.00,NBKR,,,,,,,,,,,,,,,,
2024-01-25,31.1035,186 515.00,189 312.50,NBKR,,,,,,,,,,,,,,,,
2024-01-25,10.00,60 891.50,61 013.00,NBKR,,,,,,,,,,,,,,,,
2024-01-25,100.00,589 370.00,607 051.00,NBKR,,,,,,,,,,,,,,,,
2024-01-25,2.00,13 139.00,13 191.50,NBKR,,,,,,,,,,,,,,,,
2024-01-25,1.00,7 208.00,7 244.00,NBKR,,,,,,,,,,,,,,,,
2024-01-25,5.00,30 900.50,30 993.00,NBKR,,,,,,,,,,,,,,,,
2024-01-26,31.1035,186 444.50,189 241.50,NBKR,,,,,,,,,,,,,,,,
2024-01-26,10.00,60 869.00,60 990.50,NBKR,,,,,,,,,,,,,,,,
2024-01-26,100.00,589 144.00,606 818.50,NBKR,,,,,,,,,,,,,,,,
2024-01-26,2.00,13 134.50,13 187.00,NBKR,,,,,,,,,,,,,,,,
2024-01-26,1.00,7 205.50,7 241.50,NBKR,,,,,,,,,,,,,,,,
2024-01-26,5.00,30 889.00,30 982.00,NBKR,,,,,,,,,,,,,,,,
2024-01-27,1.00,7 190.50,7 226.50,NBKR,,,,,,,,,,,,,,,,
2024-01-27,2.00,13 104.00,13 156.50,NBKR,,,,,,,,,,,,,,,,
2024-01-27,5.00,30 813.00,30 905.50,NBKR,,,,,,,,,,,,,,,,
2024-01-27,10.00,60 716.50,60 838.00,NBKR,,,,,,,,,,,,,,,,
2024-01-27,31.1035,185 971.00,188 761.00,NBKR,,,,,,,,,,,,,,,,
2024-01-27,100.00,587 622.00,605 251.00,NBKR,,,,,,,,,,,,,,,,
2024-01-29,31.1035,185 971.00,188 761.00,NBKR,,,,,,,,,,,,,,,,
2024-01-29,10.00,60 716.50,60 838.00,NBKR,,,,,,,,,,,,,,,,
2024-01-29,100.00,587 622.00,605 251.00,NBKR,,,,,,,,,,,,,,,,
2024-01-29,2.00,13 104.00,13 156.50,NBKR,,,,,,,,,,,,,,,,
2024-01-29,1.00,7 190.50,7 226.50,NBKR,,,,,,,,,,,,,,,,
2024-01-29,5.00,30 813.00,30 905.50,NBKR,,,,,,,,,,,,,,,,
2024-01-30,1.00,7 202.00,7 238.00,NBKR,,,,,,,,,,,,,,,,
2024-01-30,2.00,13 127.50,13 180.00,NBKR,,,,,,,,,,,,,,,,
2024-01-30,5.00,30 871.00,30 964.00,NBKR,,,,,,,,,,,,,,,,
2024-01-30,10.00,60 833.00,60 954.50,NBKR,,,,,,,,,,,,,,,,
2024-01-30,31.1035,186 333.00,189 128.00,NBKR,,,,,,,,,,,,,,,,
2024-01-30,100.00,588 785.00,606 449.00,NBKR,,,,,,,,,,,,,,,,
2024-01-31,31.1035,188 168.50,190 991.00,NBKR,,,,,,,,,,,,,,,,
2024-01-31,10.00,61 424.00,61 546.50,NBKR,,,,,,,,,,,,,,,,
2024-01-31,100.00,594 686.50,612 527.00,NBKR,,,,,,,,,,,,,,,,
2024-01-31,2.00,13 244.50,13 297.50,NBKR,,,,,,,,,,,,,,,,
2024-01-31,1.00,7 261.00,7 297.00,NBKR,,,,,,,,,,,,,,,,
2024-01-31,5.00,31 166.50,31 260.00,NBKR,,,,,,,,,,,,,,,,
2024-02-01,31.1035,189 079.50,191 916.00,NBKR,,,,,,,,,,,,,,,,
2024-02-01,10.00,61 717.50,61 840.50,NBKR,,,,,,,,,,,,,,,,
2024-02-01,100.00,597 615.50,615 544.00,NBKR,,,,,,,,,,,,,,,,
2024-02-01,2.00,13 303.00,13 356.00,NBKR,,,,,,,,,,,,,,,,
2024-02-01,1.00,7 290.00,7 326.50,NBKR,,,,,,,,,,,,,,,,
2024-02-01,5.00,31 313.50,31 407.50,NBKR,,,,,,,,,,,,,,,,
2024-02-02,1.00,7 269.00,7 305.00,NBKR,,,,,,,,,,,,,,,,
2024-02-02,2.00,13 260.50,13 314.00,NBKR,,,,,,,,,,,,,,,,
2024-02-02,5.00,31 207.00,31 300.50,NBKR,,,,,,,,,,,,,,,,
2024-02-02,10.00,61 504.50,61 627.50,NBKR,,,,,,,,,,,,,,,,
2024-02-02,31.1035,188 418.50,191 245.00,NBKR,,,,,,,,,,,,,,,,
2024-02-02,100.00,595 490.50,613 355.00,NBKR,,,,,,,,,,,,,,,,
2024-02-05,31.1035,187 373.50,190 184.00,NBKR,,,,,,,,,,,,,,,,
2024-02-05,10.00,61 168.00,61 290.50,NBKR,,,,,,,,,,,,,,,,
2024-02-05,100.00,592 130.50,609 894.50,NBKR,,,,,,,,,,,,,,,,
2024-02-05,2.00,13 194.00,13 246.50,NBKR,,,,,,,,,,,,,,,,
2024-02-05,5.00,31 038.50,31 132.00,NBKR,,,,,,,,,,,,,,,,
2024-02-05,1.00,7 235.50,7 271.50,NBKR,,,,,,,,,,,,,,,,
2024-02-06,1.00,7 196.50,7 232.00,NBKR,,,,,,,,,,,,,,,,
2024-02-06,2.00,13 115.50,13 168.00,NBKR,,,,,,,,,,,,,,,,
2024-02-06,5.00,30 842.00,30 934.50,NBKR,,,,,,,,,,,,,,,,
2024-02-06,10.00,60 775.00,60 896.50,NBKR,,,,,,,,,,,,,,,,
2024-02-06,31.1035,186 153.00,188 945.50,NBKR,,,,,,,,,,,,,,,,
2024-02-06,100.00,588 206.50,605 853.00,NBKR,,,,,,,,,,,,,,,,
2024-02-07,1.00,7 233.00,7 269.00,NBKR,,,,,,,,,,,,,,,,
2024-02-07,2.00,13 189.00,13 242.00,NBKR,,,,,,,,,,,,,,,,
2024-02-07,5.00,31 026.50,31 119.50,NBKR,,,,,,,,,,,,,,,,
2024-02-07,10.00,61 143.50,61 266.00,NBKR,,,,,,,,,,,,,,,,
2024-02-07,31.1035,187 297.50,190 107.00,NBKR,,,,,,,,,,,,,,,,
2024-02-07,100.00,591 887.00,609 643.50,NBKR,,,,,,,,,,,,,,,,
2024-02-08,100.00,594 992.00,612 842.00,NBKR,,,,,,,,,,,,,,,,
2024-02-08,10.00,61 454.50,61 577.50,NBKR,,,,,,,,,,,,,,,,
2024-02-08,31.1035,188 263.50,191 087.50,NBKR,,,,,,,,,,,,,,,,
2024-02-08,5.00,31 182.00,31 275.50,NBKR,,,,,,,,,,,,,,,,
2024-02-08,1.00,7 264.00,7 300.00,NBKR,,,,,,,,,,,,,,,,
2024-02-08,2.00,13 251.00,13 304.00,NBKR,,,,,,,,,,,,,,,,
2024-02-09,1.00,7 226.50,7 263.00,NBKR,,,,,,,,,,,,,,,,
2024-02-09,2.00,13 176.50,13 229.50,NBKR,,,,,,,,,,,,,,,,
2024-02-09,5.00,30 995.50,31 088.50,NBKR,,,,,,,,,,,,,,,,
