Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Год
12.11.2015,2.00,6 879.50,6 907.00,2015
12.11.2015,5.00,15 817.00,15 864.50,2015
12.11.2015,10.00,30 789.00,30 851.00,2015
12.11.2015,31.1035,93 010.00,93 103.00,2015
12.11.2015,100.00,256 624.00,256 880.50,2015
11.11.2015,1.00,3 977.50,3 997.50,2015
11.11.2015,2.00,6 853.50,6 881.00,2015
11.11.2015,5.00,15 752.00,15 799.50,2015
11.11.2015,10.00,30 659.00,30 720.50,2015
11.11.2015,31.1035,92 606.50,92 699.00,2015
11.11.2015,100.00,255 325.50,255 581.00,2015
10.11.2015,1.00,3 958.50,3 978.00,2015
10.11.2015,2.00,6 815.50,6 843.00,2015
10.11.2015,5.00,15 656.00,15 703.00,2015
10.11.2015,10.00,30 467.50,30 528.50,2015
10.11.2015,31.1035,92 011.00,92 103.00,2015
10.11.2015,100.00,253 411.50,253 665.00,2015
09.11.2015,1.00,3 996.00,4 016.00,2015
09.11.2015,2.00,6 891.00,6 918.50,2015
09.11.2015,5.00,15 845.50,15 893.00,2015
09.11.2015,10.00,30 846.00,30 907.50,2015
09.11.2015,31.1035,93 186.50,93 279.50,2015
09.11.2015,100.00,257 190.50,257 447.50,2015
08.11.2015,1.00,3 996.00,4 016.00,2015
08.11.2015,2.00,6 891.00,6 918.50,2015
08.11.2015,5.00,15 845.50,15 893.00,2015
08.11.2015,10.00,30 846.00,30 907.50,2015
08.11.2015,31.1035,93 186.50,93 279.50,2015
08.11.2015,100.00,257 190.50,257 447.50,2015
07.11.2015,1.00,3 996.00,4 016.00,2015
07.11.2015,2.00,6 891.00,6 918.50,2015
07.11.2015,5.00,15 845.50,15 893.00,2015
07.11.2015,10.00,30 846.00,30 907.50,2015
07.11.2015,31.1035,93 186.50,93 279.50,2015
07.11.2015,100.00,257 190.50,257 447.50,2015
06.11.2015,1.00,3 982.50,4 002.50,2015
06.11.2015,2.00,6 864.00,6 891.50,2015
06.11.2015,5.00,15 777.50,15 825.00,2015
06.11.2015,10.00,30 710.50,30 772.00,2015
06.11.2015,31.1035,92 766.00,92 858.50,2015
06.11.2015,100.00,255 838.50,256 094.50,2015
05.11.2015,1.00,3 994.00,4 013.50,2015
05.11.2015,2.00,6 886.00,6 914.00,2015
05.11.2015,5.00,15 834.00,15 881.50,2015
05.11.2015,10.00,30 823.00,30 884.50,2015
05.11.2015,31.1035,93 115.50,93 208.50,2015
05.11.2015,100.00,256 962.50,257 219.50,2015
04.11.2015,1.00,4 010.50,4 030.50,2015
04.11.2015,2.00,6 920.00,6 947.50,2015
04.11.2015,5.00,15 918.50,15 966.50,2015
04.11.2015,10.00,30 992.50,31 054.50,2015
04.11.2015,31.1035,93 641.50,93 735.00,2015
04.11.2015,100.00,258 653.50,258 912.50,2015
03.11.2015,1.00,4 034.00,4 054.50,2015
03.11.2015,2.00,6 967.00,6 995.00,2015
03.11.2015,5.00,16 037.50,16 085.50,2015
03.11.2015,10.00,31 230.00,31 292.50,2015
03.11.2015,31.1035,94 379.00,94 473.00,2015
03.11.2015,100.00,261 024.00,261 285.00,2015
02.11.2015,1.00,4 052.50,4 072.50,2015
02.11.2015,2.00,7 003.50,7 031.50,2015
02.11.2015,5.00,16 128.50,16 177.00,2015
02.11.2015,10.00,31 412.00,31 475.00,2015
02.11.2015,31.1035,94 944.50,95 039.50,2015
02.11.2015,100.00,262 842.50,263 105.50,2015
01.11.2015,1.00,4 066.00,4 086.50,2015
01.11.2015,2.00,7 031.00,7 059.50,2015
01.11.2015,5.00,16 198.50,16 247.00,2015
01.11.2015,10.00,31 552.50,31 615.50,2015
01.11.2015,31.1035,95 380.00,95 475.50,2015
01.11.2015,100.00,264 243.00,264 507.50,2015
31.10.2015,1.00,4 066.00,4 086.50,2015
31.10.2015,2.00,7 031.00,7 059.50,2015
31.10.2015,5.00,16 198.50,16 247.00,2015
31.10.2015,10.00,31 552.50,31 615.50,2015
31.10.2015,31.1035,95 380.00,95 475.50,2015
31.10.2015,100.00,264 243.00,264 507.50,2015
30.10.2015,1.00,4 054.50,4 074.50,2015
30.10.2015,2.00,7 007.50,7 035.50,2015
30.10.2015,5.00,16 139.00,16 187.50,2015
30.10.2015,10.00,31 433.00,31 496.00,2015
30.10.2015,31.1035,95 010.00,95 105.00,2015
30.10.2015,100.00,263 054.00,263 317.00,2015
29.10.2015,1.00,4 121.00,4 142.00,2015
29.10.2015,2.00,7 141.00,7 169.50,2015
29.10.2015,5.00,16 475.00,16 524.50,2015
29.10.2015,10.00,32 105.00,32 169.00,2015
29.10.2015,31.1035,97 096.50,97 193.50,2015
29.10.2015,100.00,269 761.50,270 031.50,2015
28.10.2015,1.00,4 084.00,4 104.50,2015
28.10.2015,2.00,7 066.50,7 095.00,2015
28.10.2015,5.00,16 288.00,16 337.00,2015
28.10.2015,10.00,31 731.00,31 794.50,2015
28.10.2015,31.1035,95 935.50,96 031.50,2015
28.10.2015,100.00,266 029.50,266 295.50,2015
27.10.2015,1.00,4 085.50,4 105.50,2015
27.10.2015,2.00,7 069.50,7 097.50,2015
27.10.2015,5.00,16 294.50,16 343.50,2015
27.10.2015,10.00,31 744.50,31 808.00,2015
27.10.2015,31.1035,95 976.50,96 072.50,2015
27.10.2015,100.00,266 160.00,266 426.50,2015
26.10.2015,1.00,4 071.50,4 091.50,2015
26.10.2015,2.00,7 041.50,7 069.50,2015
26.10.2015,5.00,16 224.00,16 273.00,2015
26.10.2015,10.00,31 603.50,31 666.50,2015
26.10.2015,31.1035,95 538.50,95 634.00,2015
26.10.2015,100.00,264 753.00,265 017.50,2015
25.10.2015,1.00,4 084.00,4 104.50,2015
25.10.2015,2.00,7 066.50,7 095.00,2015
25.10.2015,5.00,16 288.00,16 337.00,2015
25.10.2015,10.00,31 731.00,31 794.50,2015
25.10.2015,31.1035,95 936.00,96 032.00,2015
25.10.2015,100.00,266 030.00,266 296.00,2015
24.10.2015,1.00,4 084.00,4 104.50,2015
24.10.2015,2.00,7 066.50,7 095.00,2015
24.10.2015,5.00,16 288.00,16 337.00,2015
24.10.2015,10.00,31 731.00,31 794.50,2015
24.10.2015,31.1035,95 936.00,96 032.00,2015
24.10.2015,100.00,266 030.00,266 296.00,2015
23.10.2015,1.00,4 076.00,4 096.00,2015
23.10.2015,2.00,7 050.50,7 078.50,2015
23.10.2015,5.00,16 246.50,16 295.50,2015
23.10.2015,10.00,31 648.50,31 711.50,2015
23.10.2015,31.1035,95 678.50,95 774.50,2015
23.10.2015,100.00,265 203.00,265 468.00,2015
22.10.2015,1.00,4 075.50,4 096.00,2015
22.10.2015,2.00,7 050.00,7 078.00,2015
22.10.2015,5.00,16 245.50,16 294.00,2015
22.10.2015,10.00,31 646.00,31 709.50,2015
22.10.2015,31.1035,95 671.00,95 767.00,2015
22.10.2015,100.00,265 179.00,265 444.00,2015
21.10.2015,1.00,4 099.50,4 120.00,2015
21.10.2015,2.00,7 097.50,7 125.50,2015
21.10.2015,5.00,16 365.00,16 414.00,2015
21.10.2015,10.00,31 885.00,31 948.50,2015
21.10.2015,31.1035,96 413.00,96 509.50,2015
21.10.2015,100.00,267 564.00,267 831.50,2015
20.10.2015,1.00,4 093.50,4 114.00,2015
20.10.2015,2.00,7 086.00,7 114.50,2015
20.10.2015,5.00,16 337.00,16 386.00,2015
20.10.2015,10.00,31 829.00,31 892.50,2015
20.10.2015,31.1035,96 239.00,96 335.00,2015
20.10.2015,100.00,267 004.50,267 271.50,2015
19.10.2015,1.00,4 106.00,4 127.00,2015
19.10.2015,2.00,7 111.00,7 139.50,2015
19.10.2015,5.00,16 400.00,16 449.00,2015
19.10.2015,10.00,31 955.00,32 019.00,2015
19.10.2015,31.1035,96 630.50,96 727.00,2015
19.10.2015,100.00,268 263.50,268 532.00,2015
18.10.2015,1.00,4 113.50,4 134.50,2015
18.10.2015,2.00,7 126.00,7 154.50,2015
18.10.2015,5.00,16 437.50,16 487.00,2015
18.10.2015,10.00,32 030.50,32 094.50,2015
18.10.2015,31.1035,96 864.50,96 961.50,2015
18.10.2015,100.00,269 016.00,269 285.00,2015
17.10.2015,1.00,4 113.50,4 134.50,2015
17.10.2015,2.00,7 126.00,7 154.50,2015
17.10.2015,5.00,16 437.50,16 487.00,2015
17.10.2015,10.00,32 030.50,32 094.50,2015
17.10.2015,31.1035,96 864.50,96 961.50,2015
17.10.2015,100.00,269 016.00,269 285.00,2015
16.10.2015,1.00,4 112.00,4 132.50,2015
16.10.2015,2.00,7 123.00,7 151.50,2015
16.10.2015,5.00,16 429.00,16 478.50,2015
16.10.2015,10.00,32 013.50,32 077.50,2015
16.10.2015,31.1035,96 812.50,96 909.00,2015
16.10.2015,100.00,268 848.00,269 117.00,2015
15.10.2015,1.00,4 080.50,4 100.50,2015
15.10.2015,2.00,7 059.50,7 087.50,2015
15.10.2015,5.00,16 269.50,16 318.00,2015
15.10.2015,10.00,31 694.00,31 757.00,2015
15.10.2015,31.1035,95 819.50,95 915.50,2015
15.10.2015,100.00,265 656.50,265 922.00,2015
14.10.2015,1.00,4 061.00,4 081.50,2015
14.10.2015,2.00,7 021.00,7 049.00,2015
14.10.2015,5.00,16 173.50,16 222.00,2015
14.10.2015,10.00,31 501.50,31 564.50,2015
14.10.2015,31.1035,95 223.00,95 318.50,2015
14.10.2015,100.00,263 738.50,264 002.00,2015
13.10.2015,1.00,4 062.00,4 082.00,2015
13.10.2015,2.00,7 022.50,7 050.50,2015
13.10.2015,5.00,16 177.00,16 225.50,2015
13.10.2015,10.00,31 509.00,31 572.00,2015
13.10.2015,31.1035,95 245.00,95 340.50,2015
13.10.2015,100.00,263 809.00,264 073.00,2015
12.10.2015,1.00,4 033.00,4 053.00,2015
12.10.2015,2.00,6 964.50,6 992.50,2015
12.10.2015,5.00,16 031.00,16 079.00,2015
12.10.2015,10.00,31 216.50,31 279.00,2015
12.10.2015,31.1035,94 337.50,94 432.00,2015
12.10.2015,100.00,260 891.50,261 152.50,2015
11.10.2015,1.00,4 007.50,4 027.50,2015
11.10.2015,2.00,6 913.50,6 941.50,2015
11.10.2015,5.00,15 903.00,15 951.00,2015
11.10.2015,10.00,30 961.50,31 023.50,2015
11.10.2015,31.1035,93 545.00,93 638.50,2015
11.10.2015,100.00,258 344.00,258 602.00,2015
10.10.2015,1.00,4 007.50,4 027.50,2015
10.10.2015,2.00,6 913.50,6 941.50,2015
10.10.2015,5.00,15 903.00,15 951.00,2015
10.10.2015,10.00,30 961.50,31 023.50,2015
10.10.2015,31.1035,93 545.00,93 638.50,2015
10.10.2015,100.00,258 344.00,258 602.00,2015
09.10.2015,1.00,4 011.50,4 031.50,2015
09.10.2015,2.00,6 921.50,6 949.00,2015
09.10.2015,5.00,15 922.00,15 970.00,2015
09.10.2015,10.00,30 999.50,31 061.50,2015
09.10.2015,31.1035,93 663.50,93 757.00,2015
09.10.2015,100.00,258 724.00,258 983.00,2015
08.10.2015,1.00,4 035.50,4 056.00,2015
08.10.2015,2.00,6 970.00,6 998.00,2015
08.10.2015,5.00,16 044.50,16 093.00,2015
08.10.2015,10.00,31 244.50,31 307.00,2015
08.10.2015,31.1035,94 423.50,94 518.00,2015
08.10.2015,100.00,261 168.50,261 429.50,2015
07.10.2015,1.00,4 045.00,4 065.50,2015
07.10.2015,2.00,6 989.00,7 017.00,2015
07.10.2015,5.00,16 092.50,16 141.00,2015
07.10.2015,10.00,31 340.50,31 403.00,2015
07.10.2015,31.1035,94 722.50,94 817.00,2015
07.10.2015,100.00,262 128.50,262 390.50,2015
06.10.2015,1.00,4 024.00,4 044.00,2015
06.10.2015,2.00,6 947.00,6 974.50,2015
06.10.2015,5.00,15 986.50,16 034.50,2015
06.10.2015,10.00,31 128.00,31 190.50,2015
06.10.2015,31.1035,94 063.00,94 157.00,2015
06.10.2015,100.00,260 009.00,260 269.00,2015
05.10.2015,1.00,4 023.00,4 043.50,2015
05.10.2015,2.00,6 945.00,6 973.00,2015
05.10.2015,5.00,15 982.50,16 030.50,2015
05.10.2015,10.00,31 119.50,31 182.00,2015
05.10.2015,31.1035,94 036.50,94 130.50,2015
