Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Год
04.09.2020,1.00,6 390.50,6 422.50,2020
04.09.2020,2.00,11 680.00,11 726.50,2020
04.09.2020,5.00,27 892.50,27 976.50,2020
04.09.2020,10.00,54 940.50,55 050.50,2020
04.09.2020,31.1035,168 014.00,170 534.50,2020
04.09.2020,100.00,494 279.00,509 107.00,2020
03.09.2020,1.00,6 381.00,6 412.50,2020
03.09.2020,2.00,11 660.50,11 707.00,2020
03.09.2020,5.00,27 843.50,27 927.50,2020
03.09.2020,10.00,54 842.50,54 952.00,2020
03.09.2020,31.1035,167 710.00,170 225.50,2020
03.09.2020,100.00,493 301.00,508 100.00,2020
02.09.2020,1.00,6 442.00,6 474.00,2020
02.09.2020,2.00,11 782.50,11 829.50,2020
02.09.2020,5.00,28 151.50,28 236.00,2020
02.09.2020,10.00,55 458.00,55 568.50,2020
02.09.2020,31.1035,169 621.00,172 165.00,2020
02.09.2020,100.00,499 444.50,514 428.00,2020
01.09.2020,1.00,6 419.50,6 451.50,2020
01.09.2020,2.00,11 737.50,11 784.50,2020
01.09.2020,5.00,28 037.50,28 122.00,2020
01.09.2020,10.00,55 230.50,55 341.00,2020
01.09.2020,31.1035,168 915.00,171 448.50,2020
01.09.2020,100.00,497 174.50,512 090.00,2020
28.08.2020,1.00,6 333.50,6 365.00,2020
28.08.2020,2.00,11 565.50,11 611.50,2020
28.08.2020,5.00,27 605.00,27 687.50,2020
28.08.2020,10.00,54 364.50,54 473.50,2020
28.08.2020,31.1035,166 226.00,168 719.00,2020
28.08.2020,100.00,488 529.50,503 185.00,2020
27.08.2020,1.00,6 341.00,6 372.50,2020
27.08.2020,2.00,11 580.50,11 627.00,2020
27.08.2020,5.00,27 643.00,27 726.00,2020
27.08.2020,10.00,54 440.50,54 549.50,2020
